,Name,Description,Ingredients,Portions,Likes,Dislikes,Saved,Calories,Protein,Fat,Carbs,Duration,Cuisine,cuisine_encoded,Dietary_Focus,Dish_Type,calories_per_portion,Time_Effort,Ingredients_List,Calories_std,Protein_std,Fat_std,Duration_std,Portions_std,Likes_std,Dislikes_std,Saved_std
0,Сырники из творога,"Главный секрет идеальных сырников — а точнее творожников, — творог нужно протереть через мелкое сито и отжать от влаги. Жирность предпочтительна не больше и не меньше 9%. Тесто должно получиться эластичным, чтобы при надавливании сырник не треснул на сковородке, а сохранил форму. Если все сделать правильно, получатся нежные однородные кругляшки под плотной румяной корочкой. Сырники можно запекать в духовке или готовить на пару. В рецепте не исключаются эксперименты с начинкой — сухофрукты, орехи, свежие фрукты и даже картофель лишними не будут. Приятного аппетита!","['Творог (350 г)', ' Куриное яйцо (2 штука)', ' Пшеничная мука (6 столовая ложка)', ' Сахар (2 столовая ложка)', ' Подсолнечное масло (5 столовая ложка)']",2,3063,316,27944,938.3,42.1,60.8,55.5,30,Русская кухня,63,High Fat,breakfasts,469.15,Standard,"[""'Творог (350 г)'"", "" ' Куриное яйцо (2 штука)'"", "" ' Пшеничная мука (6 столовая ложка)'"", "" ' Сахар (2 столовая ложка)'"", "" ' Подсолнечное масло (5 столовая ложка)'""]",1.730135622612576,1.1706501854445002,1.469385852250345,-0.3638122059438823,-0.9155506506897402,25.790558637631285,21.9946991938359,18.341328402689275
1,Брауни (brownie),"Один из самых популярных десертов в мире — брауни — был придуман в 1893 году на кухне легендарного отеля Palmer House в Чикаго. Этот пирог там пекут до сих пор по оригинальному рецепту, покрывая сверху абрикосовой глазурью. В домашней версии, впрочем, у брауни получается такая изумительная сахарная корочка, что глазировать ее было бы преступлением.
У традиционных шоколадных брауни ванильный аромат, хрустящая корочка и влажная серединка. В торт также добавляют грецкие орехи или фисташки, а еще клюкву.
","['Темный шоколад (100 г)', ' Сливочное масло (180 г)', ' Коричневый сахар (200 г)', ' Куриное яйцо (4 штука)', ' Пшеничная мука (100 г)', ' Грецкие орехи (100 г)']",6,3165,262,27991,676.3,10.3,46.1,55.3,40,Американская кухня,5,High Carbs,baking-desserts,112.72,Standard,"[""'Темный шоколад (100 г)'"", "" ' Сливочное масло (180 г)'"", "" ' Коричневый сахар (200 г)'"", "" ' Куриное яйцо (4 штука)'"", "" ' Пшеничная мука (100 г)'"", "" ' Грецкие орехи (100 г)'""]",0.7590162808043578,-0.4962376063615244,0.8411176277714638,-0.2309210225858142,0.1153007265435427,26.659827989453607,18.179355707785213,18.37297933257816
2,Спагетти карбонара со сливками,"Спагетти карбонара — хоть блюдо и итальянское, оно имеет хорошую популярность во всем мире, в том числе и у нас. Изобретенная когда-то простыми шахтерами, эта простая и сытная паста завоевала сердца и желудки многих. Для карбонары нужно выбирать такие ломтики бекона, где больше мяса и меньше жира. Если его будет много, то, вытапливаясь при готовке, он сделает пасту слишком тяжелой. Можно подавить чеснок и бросить в поджарку. Но, чтобы блюдо приобрело утонченный, еле уловимый аромат, достаточно потомить ломтики чеснока в масле и убрать из сковороды спустя пару минут. Не обязательно использовать в рецепте карбонары спагетти — выбирайте любимые макароны из 500 видов всевозможной пасты. Но только из твердых сортов пшеницы.","['Спагетти (250 г)', ' Сливочное масло (20 г)', ' Чеснок (2 зубчик)', ' Красный лук (1 головка)', ' Бекон (50 г)', ' Сливки 20%-ные (200 мл)', ' Тертый сыр пармезан  (50 г)', ' Куриное яйцо (4 штука)', ' Соль (0 по вкусу)', ' Молотый черный перец (0 по вкусу)']",4,2504,249,23983,579.0,23.2,30.5,50.9,20,Итальянская кухня,32,High Carbs,pasta-pizza,144.75,Express,"[""'Спагетти (250 г)'"", "" ' Сливочное масло (20 г)'"", "" ' Чеснок (2 зубчик)'"", "" ' Красный лук (1 головка)'"", "" ' Бекон (50 г)'"", "" ' Сливки 20%-ные (200 мл)'"", "" ' Тертый сыр пармезан  (50 г)'"", "" ' Куриное яйцо (4 штука)'"", "" ' Соль (0 по вкусу)'"", "" ' Молотый черный перец (0 по вкусу)'""]",0.3983677618809243,0.1799527242767685,0.1743840017938756,-0.4967033893019504,-0.4001249620730987,21.026621699703075,17.26084709077301,15.673895779500327
3,Лазанья классическая с мясом,"В сотейник положить сливочное масло и 2 ложки растительного масла, растопить.  Постепенно добавлять муку и размешивать так, чтобы не оставалось комочков.  Когда вся мука вмешана, влить все молоко","['Мясной фарш (600 г)', ' Соус болоньезе (600 г)', ' Сливочное масло (60 г)', ' Пшеничная мука (2.5 столовая ложка)', ' Оливковое масло (2 столовая ложка)', ' Молоко (750 мл)', ' Готовые сухие листы лазаньи (10 штука)', ' Твердый сыр (500 г)']",6,1759,182,21343,964.9,50.0,72.6,23.9,40,Итальянская кухня,32,High Fat,pasta-pizza,160.82,Standard,"[""'Мясной фарш (600 г)'"", "" ' Соус болоньезе (600 г)'"", "" ' Сливочное масло (60 г)'"", "" ' Пшеничная мука (2.5 столовая ложка)'"", "" ' Оливковое масло (2 столовая ложка)'"", "" ' Молоко (750 мл)'"", "" ' Готовые сухие листы лазаньи (10 штука)'"", "" ' Твердый сыр (500 г)'""]",1.8287301817427235,1.5847512406415942,1.973710005233392,-0.2309210225858142,0.1153007265435427,14.67754653198122,12.526994987710118,13.896056313401155
4,Курица «Пикассо»,"Нарежьте болгарский перец кольцами (лучше выбрать трех разных цветов — это выглядит красочнее), предварительно удалив семена.  Лук нарезать полукольцами, чеснок натереть на мелкой терке.  Куриные грудки посолить, поперчить","['Куриная грудка (4 штука)', ' Лук (2 штука)', ' Сладкий перец (3 штука)', ' Чеснок (3 зубчик)', ' Помидоры (4 штука)', ' Овощной бульонный кубик  (1 штука)', ' Сыр (100 г)', ' Смесь итальянских трав (1 столовая ложка)', ' Вода (0.5 стакан)', ' Сливки (0.5 стакан)', ' Оливковое масло (2 столовая ложка)', ' Мускатный орех (0 щепотка)', ' Соль (0 по вкусу)', ' Сливочное масло (1 столовая ложка)', ' Молотый черный перец (0 по вкусу)']",4,1415,162,19373,637.1,69.6,30.7,21.2,45,Испанская кухня,31,High Protein,main-courses,159.28,Standard,"[""'Куриная грудка (4 штука)'"", "" ' Лук (2 штука)'"", "" ' Сладкий перец (3 штука)'"", "" ' Чеснок (3 зубчик)'"", "" ' Помидоры (4 штука)'"", "" ' Овощной бульонный кубик  (1 штука)'"", "" ' Сыр (100 г)'"", "" ' Смесь итальянских трав (1 столовая ложка)'"", "" ' Вода (0.5 стакан)'"", "" ' Сливки (0.5 стакан)'"", "" ' Оливковое масло (2 столовая ложка)'"", "" ' Мускатный орех (0 щепотка)'"", "" ' Соль (0 по вкусу)'"", "" ' Сливочное масло (1 столовая ложка)'"", "" ' Молотый черный перец (0 по вкусу)'""]",0.6137190357704567,2.6121412003710933,0.1829318687935882,-0.1644754309067801,-0.4001249620730987,11.745893031717706,11.113904807691346,12.569410954228667
5,Классическая шарлотка,"Классическая шарлотка. Важное сладкое блюдо советской и постсоветской истории. Легкое, пышное тесто, максимум яблочной начинки — у шарлотки всегда был образ приятного, простого и при этом лакомого и диетического блюда. Яблоки настоятельно рекомендуем взять из кислых сортов — вроде антоновки. Их можно класть как сырыми, так и предварительно слегка карамелизованными на сковородке. И сахара лучше не жалеть. Он магическим образом распределяется в нужном количестве в тесте, а излишки образуют сладкую корочку.","['Сахар (1 стакан)', ' Куриное яйцо (5 штука)', ' Пшеничная мука (1 стакан)', ' Яблоко (7 штука)', ' Растительное масло (1 столовая ложка)', ' Разрыхлитель (0.5 чайная ложка)']",12,2108,252,20914,216.8,4.8,4.8,37.6,50,Русская кухня,63,Low Calorie,baking-desserts,18.07,Standard,"[""'Сахар (1 стакан)'"", "" ' Куриное яйцо (5 штука)'"", "" ' Пшеничная мука (1 стакан)'"", "" ' Яблоко (7 штука)'"", "" ' Растительное масло (1 столовая ложка)'"", "" ' Разрыхлитель (0.5 чайная ложка)'""]",-0.9441491297333374,-0.7845358093468431,-0.9240169076692024,-0.0980298392277461,1.6615777923934671,17.651811274981124,17.472810617775824,13.60715740016004
6,Американский тыквенный пирог с корицей,"Американский тыквенный пирог с корицей — классика застолья Среднего и прочего Запада, анекдотический персонаж американского быта не лишен, однако, прелести, особенно если не получать его с младых ногтей каждые два дня в качестве десерта.
Тыква тоже имеет звание чуть ли не коренного жителя Америки, так как открыта была именно здесь и охотно используется жителями континента во многих блюдах по многим случаям. И все же этот пирог получается безумно вкусным, если выбрать правильную тыкву — удлиненную, с закругленным концом.","['Пшеничная мука (400 г)', ' Сливочное масло (250 г)', ' Куриное яйцо (3 штука)', ' Тыква (900 г)', ' Сахар (200 г)', ' Сливки 30%-ные (200 мл)', ' Корица (0 по вкусу)', ' Ванилин (0 по вкусу)', ' Соль (0 по вкусу)']",8,1401,175,17553,652.2,9.6,37.4,72.4,120,Американская кухня,5,High Carbs,baking-desserts,81.53,Time-Consuming,"[""'Пшеничная мука (400 г)'"", "" ' Сливочное масло (250 г)'"", "" ' Куриное яйцо (3 штука)'"", "" ' Тыква (900 г)'"", "" ' Сахар (200 г)'"", "" ' Сливки 30%-ные (200 мл)'"", "" ' Корица (0 по вкусу)'"", "" ' Ванилин (0 по вкусу)'"", "" ' Соль (0 по вкусу)'""]",0.6696881276074954,-0.5329301049232923,0.4692854132839626,0.8322084442787306,0.6307264151601841,11.62658155205582,12.032413424703549,11.343779201084542
7,Тонкие блины на молоке,"Тонкие блины на молоке — это английский вариант традиционных пышных русских блинов, выпеченных на дрожжах. В Европе блинчики имеют вид тонких, почти прозрачных салфеток. Во Франции их называют «крепы» и подают с сотней разнообразных начинок. Никаких особых уловок в приготовлении нет: чем более жидкое тесто, тем тоньше получается блинчики. Ажурный вариант, в дырочку, получится, если часть молока из рецепта добавить в тесто немного горячим. Перед тем как залить первый блин, следует хорошо прокалить сковороду. Блинчик готов, когда он начинает зарумяниваться до хрустящих краев.","['Пшеничная мука (400 г)', ' Сахар (2 столовая ложка)', ' Куриное яйцо (5 штука)', ' Молоко (1 л)', ' Соль (0 на кончике ножа)', ' Растительное масло (2 столовая ложка)']",4,1955,343,16873,732.5,26.7,27.4,95.4,40,Русская кухня,63,High Carbs,baking-desserts,183.12,Standard,"[""'Пшеничная мука (400 г)'"", "" ' Сахар (2 столовая ложка)'"", "" ' Куриное яйцо (5 штука)'"", "" ' Молоко (1 л)'"", "" ' Соль (0 на кончике ножа)'"", "" ' Растительное масло (2 столовая ложка)'""]",0.967325086184594,0.3634152170856077,0.0418920632983291,-0.2309210225858142,-0.4001249620730987,16.34790724724764,23.90237093686124,10.885850853755969
8,"Салат из красной фасоли с творожным сыром, красным луком и сезонным салатом","Тосканский салат, выдержанный в колористике итальянского флага. Буквально нескольких ложек хватает, чтобы в желудке образовалась приятная тяжесть. Очень полезная штука с точки зрения утра, когда трудно запихнуть в себя крупные дозы биомассы, а есть при этом хочется. Кроме рукколы в этом салате уверенно чувствуют себя листья корн-салата и щавеля, но идеальнее всего ведет себя зеленая черемша. Используя ее, можно, кстати, отказаться от чеснока. Этот салат вообще допускает множество сюжетных отклонений. Например, вместо соли можно использовать соевый соус: в сочетании с фасолью он очень уместен. А для пущего благообразия можно капнуть в миску немного бальзамического уксуса.","['Молотый черный перец (0 по вкусу)', ' Консервированная фасоль (400 г)', ' Соль (0 по вкусу)', ' Лимон (1 штука)', ' Чеснок (2 зубчик)', ' Оливковое масло (50 мл)', ' Рукола (100 г)', ' Творожный сыр (200 г)', ' Красный лук (50 г)']",4,1180,120,15335,341.3,11.1,23.0,22.7,7,Итальянская кухня,32,Balanced,salads,85.32,Express,"[""'Молотый черный перец (0 по вкусу)'"", "" ' Консервированная фасоль (400 г)'"", "" ' Соль (0 по вкусу)'"", "" ' Лимон (1 штука)'"", "" ' Чеснок (2 зубчик)'"", "" ' Оливковое масло (50 мл)'"", "" ' Рукола (100 г)'"", "" ' Творожный сыр (200 г)'"", "" ' Красный лук (50 г)'""]",-0.4826821142557681,-0.4543033222909326,-0.1461610106953494,-0.669461927667439,-0.4001249620730987,9.743164623107456,8.146415429651924,9.850124679945162
9,Оякодон (японский омлет с рисом и курицей),"Оякодон — разновидность традиционного японского блюда донбури, представляющего собой круглую чашу с рисом, дополненную различными ингредиентами, от куска свинины или говядины до угря. Если верить источникам, оякодон придумали в Осаке около 1900 года, бросив на рис кусочки курицы с весенним луком и залив их яйцом. Название блюда, к слову, буквально означает на японском «мать и дитя». Кстати, готовить оякодон можно не только с курицей, с говядиной тоже вкусно. И еще это не только завтрак — он может быть и обедом, и ужином.
","['Репчатый лук (1 головка)', ' Куриное филе (300 г)', ' Рис (0.5 стакан)', ' Куриное яйцо (3 штука)', ' Соевый соус (6 столовая ложка)', ' Сахар (2 столовая ложка)', ' Зеленый лук (20 г)']",2,1052,104,14534,595.1,56.2,11.9,63.6,30,Японская кухня,89,High Carbs,breakfasts,297.55,Standard,"[""'Репчатый лук (1 головка)'"", "" ' Куриное филе (300 г)'"", "" ' Рис (0.5 стакан)'"", "" ' Куриное яйцо (3 штука)'"", "" ' Соевый соус (6 столовая ложка)'"", "" ' Сахар (2 столовая ложка)'"", "" ' Зеленый лук (20 г)'""]",0.4580434160912767,1.909741942188681,-0.6205676291794026,-0.3638122059438823,-0.9155506506897402,8.652316809055918,7.015943285636906,9.31071202375371
